id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1615961489650905088,1615830981331812352,2023-01-19 10:36:56 +04,2023-01-19,10:36:56,+0400,2796861798,iamemilymayo,Emily,,"@bohdia @somewherein84 Hang on. Setting aside that it’s not your place to decide what is ‘ick’ and how women respond. I’m struggling with the climate change leap here. What exactly are you suggesting? That because women reject men who they feel are ick, every one will die and the planet won’t matter?",en,[],[],[],0,0,0,[],[],https://twitter.com/iamemilymayo/status/1615961489650905088,False,,0,,,,,,,,"[{'screen_name': 'bohdia', 'name': 'Tim Coghl.\\n', 'id': '1941235188'}, {'screen_name': 'somewherein84', 'name': 'Laura Strehlau', 'id': '1207389541650202624'}]",,,,
1615961483363454977,1615961483363454977,2023-01-19 10:36:55 +04,2023-01-19,10:36:55,+0400,3413058154,middleeast,Bloomberg Middle East,,"Fake meat companies promised to halt climate change, protect animals and make people healthier— while making billions. But they’ve turned out to be another food fad.  Read The Big Take:  https://t.co/ymchoHH2yR via @BW",en,"[{'screen_name': 'bw', 'name': 'businessweek', 'id': '67358777'}]",['https://trib.al/XUIF6so'],[],0,0,0,[],[],https://twitter.com/middleeast/status/1615961483363454977,False,,0,,,,,,,,[],,,,
1615961377864298496,1615753259972702208,2023-01-19 10:36:30 +04,2023-01-19,10:36:30,+0400,1613625159788945408,speciesuknown,Species Unknown,,"@elonmusk Voted yes want a jet and fly around the world, first class hotels eat like a king to promote climate change and poverty",en,[],[],[],0,0,0,[],[],https://twitter.com/SpeciesUknown/status/1615961377864298496,False,,0,,,,,,,,"[{'screen_name': 'elonmusk', 'name': 'Elon Musk', 'id': '44196397'}]",,,,
1615961347233021952,1615959584862081025,2023-01-19 10:36:22 +04,2023-01-19,10:36:22,+0400,956250134786002944,climateben,Ben See,,"'We risk what I have called a Great Fracture..'  An ironic reference to the Great Reset, I suppose.  UN still getting behind the acceleration of the Extinction Economy.  Slow down for system change.   https://t.co/22nxdoHteY",en,[],['https://www.weforum.org/agenda/2023/01/davos-2023-special-address-by-antonio-guterres-secretary-general-of-the-united-nations/'],[],0,0,0,[],[],https://twitter.com/ClimateBen/status/1615961347233021952,False,,0,,,,,,,,[],,,,
1615961325204811776,1615555616814268416,2023-01-19 10:36:17 +04,2023-01-19,10:36:17,+0400,1590239326822191104,merrifie19,David Merrifield,,"@johnrackham82 Me.  The climate does change, but humans have NO impact on it.  It’s totally dependent on solar activity radiating to the earths surface.",en,[],[],[],0,0,0,[],[],https://twitter.com/merrifie19/status/1615961325204811776,False,,0,,,,,,,,"[{'screen_name': 'johnrackham82', 'name': 'American Soldier for Christ', 'id': '1552067520575799298'}]",,,,
1615961305675857921,1615961305675857921,2023-01-19 10:36:13 +04,2023-01-19,10:36:13,+0400,1581774569051914240,topclimatenews,Today's Climate,,CIMMYT-China workshop aims to facilitate future collaborations to battle climate change  https://t.co/ww5abBn9MD,en,[],['https://www.cgiar.org/news-events/news/cimmyt-china-workshop-aims-to-facilitate-future-collaborations-to-battle-climate-change/'],[],0,0,0,[],[],https://twitter.com/TopClimateNews/status/1615961305675857921,False,,0,,,,,,,,[],,,,
1615961257991102467,1615961257991102467,2023-01-19 10:36:01 +04,2023-01-19,10:36:01,+0400,1301279918358171648,enigmamachine8,The Enigma Machine,,"Sure Greta, stop polluting young minds with fairy 🧚‍♀️ tales of climate change   Also, the German folks were compensated 💰 for their land to allow the needed mine to go into operation. Suggest taking your protest to the Authobaun to stop ✋ the gas cars going 150 km/hr",en,[],[],[],0,0,0,[],[],https://twitter.com/EnigmaMachine8/status/1615961257991102467,False,https://twitter.com/GretaThunberg/status/1615618850711552000,0,,,,,,,,[],,,,
1615961244900667392,1615961244900667392,2023-01-19 10:35:58 +04,2023-01-19,10:35:58,+0400,921890837155364864,paha46792083,Paha,,"HOTAIR BALOON, INVENTOR OF INTERNET &amp; ""INVENTOR"" OF CLIMATE CHANGE, AL GORE NOW DISCOVERS ""RAIN BOMBS"". SIMPLY BRILLIANT.  https://t.co/Eq17M8Se3J",en,[],[],"['https://pbs.twimg.com/media/Fm0L_KNakAALKxP.jpg', 'https://pbs.twimg.com/media/Fm0L_KLagAAcVPz.jpg', 'https://pbs.twimg.com/media/Fm0L_KMaAAEodUL.jpg']",0,0,0,[],[],https://twitter.com/Paha46792083/status/1615961244900667392,False,https://twitter.com/FoxNews/status/1615939114322231296,1,https://pbs.twimg.com/media/Fm0L_KNakAALKxP.jpg,,,,,,,[],,,,
1615961215565721602,1615785588304527377,2023-01-19 10:35:51 +04,2023-01-19,10:35:51,+0400,1579728509773107200,stfujfc,la skorpon king,,"@Jiikae @honeycombkeith I’m about to go Calvin’s Dad for a second: it’s nostalgia, sure - the world WAS different.   We have choked out our starry skies and changed the entire color palette of the globe since the 90’s and early 2000’s from noxious development, pollution and climate change.",en,[],[],[],0,0,0,[],[],https://twitter.com/STFUJFC/status/1615961215565721602,False,,0,,,,,,,,"[{'screen_name': 'Jiikae', 'name': 'Jiikae', 'id': '606367698'}, {'screen_name': 'honeycombkeith', 'name': 'she square on my enix', 'id': '1224810004030480384'}]",,,,
1615961209106464778,1615618850711552000,2023-01-19 10:35:50 +04,2023-01-19,10:35:50,+0400,262486042,cairnstownie,💧Fringe Dweller,,"@trytbfaithful @GretaThunberg Australia - unprecedented fires, then unprecedented floods, all triggered by climate change.   Highest greenhouse emissions per capita in the world (4 times global avg. Second largest coal exporter in the world  Planning to open 72 new coal mines  Because profits for billionaires",en,[],[],[],0,0,0,[],[],https://twitter.com/cairnstownie/status/1615961209106464778,False,,0,,,,,,,,"[{'screen_name': 'trytbfaithful', 'name': 'LT', 'id': '1566850262559596544'}, {'screen_name': 'GretaThunberg', 'name': 'Greta Thunberg', 'id': '1006419421244678144'}]",,,,
